weeks,ccf,antimicrobial,organism
7,-0.3896319725105037,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
8,-0.3922833397914259,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
9,-0.3926080854464848,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
10,-0.39060634520046317,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
11,-0.3844885284669584,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
12,-0.3737519684854245,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
13,-0.360348072474019,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
14,-0.3448513656080051,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
15,-0.32810926282042785,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
16,-0.3103898515508953,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
17,-0.29039713278300816,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
18,-0.2675605828140321,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
19,NA,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
20,NA,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
